answers,ownerId,quesId,summary,tags,views,votes
1,3370217,46847627,Is there a way to emulate a Android OS upgrade scenario on AVD emulator?,"android,android-emulator,apk",39,39
0,3291744,36733638,Representing Parametric Survival Model in 'Counting Process' form in JAGS,"r,bayesian,survival-analysis,jags,weibull",224,224
4,93171,115029,Is there such a thing as a dish being bland from too many flavors?,"flavor,spices,seasoning",29,29
0,1612428,53375422,How does pytorch's parallel method and distributed method work?,"python-3.x,parallel-processing,pytorch,distributed-computing",41,41
1,3063048,28296633,Android Usage Access for Android 5 Samsung devices,"android,android-5.0-lollipop,samsung-mobile,usage-statistics",39,39
0,1302488,50384943,RAML 1.0 representation of Java Map,"java,raml,raml-java-parser,raml-1.0",38,38
1,89839,245320,How did Luke get his lightsaber back from Raynar Thul?,"star-wars,star-wars-legends,lightsaber,luke-skywalker",6,6
1,1669996,42728757,MarkerClick works but InfoWindowClick does not open ViewModel,"android,google-maps,xamarin,xamarin.android,mvvmcross",39,39
3,139556,591007,What is wrong with the $f$ symbol?,"math-mode,spacing,symbols,amsmath",5,5
2,196688,557871,Why should BJTs be saturated in switching circuits?,"transistors,bjt,saturation",2,2
2,4556202,28462466,Google Calendar Push Notifications SetUp,"php,calendar,google-calendar-api,google-api-php-client",40,40
0,1461210,17406954,Is it possible to directly apply an affine transformation matrix to a Mayavi ImageActor object?,"python,transformation,mayavi",41,41
4,40376,31388,Artificial decomposition in Scrum,"scrum,estimation,sprint,refinement",11,11
3,32035,221150,"Strange suction in toilet and sink, like a vacuum in the sewer pulling the water out","plumbing,drain,drainage,sewer",11,11
1,19804,45562,Head shaving when father is alive,customs,4,4
2,413073,417927,Explanation /bin/bash -c “$(curl -fsSL https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh)”,"macos,command-line,bash,homebrew",4,4
3,137921,165728,How do I voice my opinion that the teaching of students is being neglected?,"ethics,united-states,teaching,teaching-assistant",19,19
2,281144,517795,Differences Between the Central Limit Theorem and Consistency,"probability,convergence,central-limit-theorem,consistency",6,6
1,135311,389083,Packing equal-size disks in a unit disk,"co.combinatorics,discrete-geometry,extremal-combinatorics,circle-packing",5,5
4,254740,247809,How to protect a <input type='password'/> from XSS?,xss,7,7
2,58973,50532,Have any versions of “Who Wants to be a Millionaire?” had to remove the Ask the Audience lifeline due to the audience purposely voting wrong?,television,21,21
1,52531,63135,How do market makers calculate the IV for options?,"options,derivatives",1,1
3,135061,591014,Best way to write $\lim^1$,spacing,10,10
1,403,243919,Easily download SE posts as notebooks?,"import,web-access,http-functions",9,9
2,98430,124320,Why is there a bright edge in my photos even though my studio lights provide even coverage?,studio-lighting,7,7
1,47669,64554,Construction I need help clarifying in Otfried Preußler's “Krabat”,"idioms,pronouns",8,8
3,334715,642966,Why does “file xxx.src” lead to “cannot open `xxx.src' (No such file or directory)” but has an exit status of 0 (success)?,"linux,exit-status,file-command",9,9
3,181792,626151,What is the physical importance of topological quantum field theory?,"quantum-field-theory,mathematical-physics,topological-field-theory",11,11
3,1292093,1638256,why isn't 255.255.249.0 a valid subnet mask?,"networking,desktop-computer,window,subnet,mask",30,30
3,125137,171037,Company wants me to have follow up meeting with a team after Interview; what does that mean?,follow-up,3,3
2,7434,63260,What is the largest political entity that lacks legislative power?,"international,legislation,local-government",16,16
9,108103,139302,Why can't my LLC get a credit card when the owner has credit history and a good credit score?,"credit-card,banking,small-business,business",14,14
3,31995,63727,Do you get to keep a fraudulent money transfer that you are entitled to?,"fraud,unjust-enrichment",6,6
3,281726,557789,Temperature sensor read out is influenced by LED,"arduino,sensor,adc",2,2
3,83431,113240,Why the difference between Thanos on Titan and on Earth?,"plot-explanation,marvel-cinematic-universe,avengers-infinity-war",14,14
4,108123,139344,Are new dividend investors severely disadvantaged by ongoing rising dividend growth stock prices?,investing,5,5
2,60603,109195,Construction of positive integers by given rules,"mathematics,number-theory",5,5
3,43422,113343,How does Eb connect musically to C major chord progression like in this song?,"chords,scales,chord-theory,chord-progressions",8,8
6,11795,19446,Was there a specific benefit to inverted (XOR) mouse cursors other than aesthetics?,"history,graphics,mouse",27,27
2,10736,10123,What are some good car-crafts for long trips?,kids-crafts,8,8
5,125138,171041,Taking over another fired developers role,"work-experience,promotion,careers,developer,professional-development",5,5
3,63622,113333,Why do guitarists move fingers up and down on the same note?,"guitar,technique",7,7
1,166165,389072,What is the category of covariant and contravariant functors?,ct.category-theory,6,6
1,139513,245265,Book where humans and robots co-existed and slaves could earn freedom through playing games,"story-identification,books",19,19
2,144179,138257,Multiple selection,"usability,multi-selection,pricing",7,7
