ownerId,quesId,summary,tags
87234,11227809,Why is processing a sorted array faster than processing an unsorted array?,"java,c++,performance,optimization,branch-prediction"
56730,86271,What options are there in Canada for treatment of severe depression and anxiety for pilots?,"helicopter,general-aviation,medical,canada"
33219,24628,Effective ways to dry out books?,books
-1,59895,How can I get the source directory of a Bash script from within the script itself?,"bash,directory"
277346,557739,What is the “collector light current” of a phototransistor and how does it relate to the collector current?,"transistors,led,phototransistor,photosensor"
17085,89228,How to execute a program or call a system command from Python,"python,shell,terminal,subprocess,command"
239975,258947,Program for checking gaps in hierarchy?,java
17085,42336,What does “crs” mean in structural engineering / construction?,"structural-engineering,foundations,pile-foundations"
2172,417142,What is the maximum length of a URL in different browsers?,"http,url,browser"
12983,762011,What's the difference between using “let” and “var”?,"javascript,scope,ecmascript-6,var,let"
-1,122102,What is the most efficient way to deep clone an object in JavaScript?,"javascript,object,clone"
63622,113333,Why do guitarists move fingers up and down on the same note?,"guitar,technique"
11795,19446,Was there a specific benefit to inverted (XOR) mouse cursors other than aesthetics?,"history,graphics,mouse"
4883,52704,How do I discard unstaged changes in Git?,"git,version-control"
59711,487258,What is a plain English explanation of “Big O” notation?,"algorithm,complexity-theory,computer-science,big-o,time-complexity"
108123,139344,Are new dividend investors severely disadvantaged by ongoing rising dividend growth stock prices?,investing
52101,100084,Why does UV radiation from the Sun cause skin cancer?,"cancer,biophysics,skin,radiation,uv"
45588,183534,How to surpass Construct's Hardness with no heavy-hitter at low level?,"pathfinder-2e,tactics,constructs"
47669,64554,Construction I need help clarifying in Otfried Preußler's “Krabat”,"idioms,pronouns"
64956,100082,How come there aren't many competing biologies on earth?,"biochemistry,dna,biophysics,abiogenesis"
92116,222725,Equalizing fractions,"code-golf,math"
98164,165664,Can my former PhD adviser force me to complete tasks after quitting his research group?,"phd,advisor,united-states,changing-fields"
32197,38682,can you rhyme words in sign language?,"sign-languages,poetry,rhyming"
74385,109154,Puzzle about 6 infinite cylinders in space,"mathematics,geometry,three-dimensional"
