answers,ownerId,quesId,summary,tags,views,votes
2,89839,245320,How did Luke get his lightsaber back from Raynar Thul?,"star-wars,star-wars-legends,lightsaber,luke-skywalker",7,7
4,178152,590997,Best way to replicate this in latex,"equations,align,matrices",4,4
1,35750,54541,An exiled planeswalker returned with loyalty higher than printed in Arena,"magic-the-gathering,mtg-arena",3,3
5,37467,63714,Is it legal for an oil company to charge customers a different price per gallon for the same oil?,consumer-protection,8,8
1,52531,63135,How do market makers calculate the IV for options?,"options,derivatives",1,1
4,254740,247809,How to protect a <input type='password'/> from XSS?,xss,7,7
18,2172,417142,What is the maximum length of a URL in different browsers?,"http,url,browser",5107,5107
62,17085,89228,How to execute a program or call a system command from Python,"python,shell,terminal,subprocess,command",5231,5231
2,32197,38682,Can you rhyme words in sign language?,"sign-languages,poetry,rhyming",20,20
8,72756,199857,Can a super computer be built using time dilation?,"reality-check,relativity,time-manipulation",16,16
67,-1,122102,What is the most efficient way to deep clone an object in JavaScript?,"javascript,object,clone",5175,5175
36,4883,52704,How do I discard unstaged changes in Git?,"git,version-control",5190,5190
36,12983,762011,What's the difference between using “let” and “var”?,"javascript,scope,ecmascript-6,var,let",5047,5047
17,97857,222676,Fibonacci Encoding,"code-golf,integer,binary,fibonacci,coding-theory",16,16
42,59711,487258,What is a plain English explanation of “Big O” notation?,"algorithm,complexity-theory,computer-science,big-o,time-complexity",5076,5076
25,87234,11227809,Why is processing a sorted array faster than processing an unsorted array?,"java,c++,performance,optimization,branch-prediction",25373,25373
1,139513,245265,Book where humans and robots co-existed and slaves could earn freedom through playing games,"story-identification,books",19,19
2,52101,100084,Why does UV radiation from the Sun cause skin cancer?,"cancer,biophysics,skin,radiation,uv",9,9
17,92727,222652,Check B-powersmoothness,"code-golf,math,decision-problem",15,15
2,5220,20670,How do you coach students who often make small errors?,"reference-request,students-mistakes,struggling-students",9,9
1,310553,517781,Is a spline interpolation considered to be a nonparametric model?,"nonparametric,terminology,splines,definition,interpolation",12,12
3,83431,113240,Why the difference between Thanos on Titan and on Earth?,"plot-explanation,marvel-cinematic-universe,avengers-infinity-war",15,15
3,1292093,1638256,why isn't 255.255.249.0 a valid subnet mask?,"networking,desktop-computer,window,subnet,mask",30,30
4,64956,100082,How come there aren't many competing biologies on earth?,"biochemistry,dna,biophysics,abiogenesis",19,19
2,60603,109195,Construction of positive integers by given rules,"mathematics,number-theory",5,5
2,71935,113370,MuseScore 3 Prevent Grouping (Beaming) Notes,"musescore,beaming",2,2
1,113278,245228,"In “The Shadow of the Past”, who helped Gandalf watch the Shire while he was gone?","tolkiens-legendarium,the-lord-of-the-rings",36,36
68,-1,59895,How can I get the source directory of a Bash script from within the script itself?,"bash,directory",5318,5318
20,557,222596,Trim elements from the ends of a list,"code-golf,array-manipulation",15,15
9,108103,139302,Why can't my LLC get a credit card when the owner has credit history and a good credit score?,"credit-card,banking,small-business,business",15,15
3,139556,591007,What is wrong with the $f$ symbol?,"math-mode,spacing,symbols,amsmath",6,6
15,1103052,1628563,Move the most recent commit(s) to a new branch with Git,"git,git-branch,branching-and-merging",5428,5428
8,22584,424964,Getting buy-in for clean code and refactoring,"project-management,refactoring,clean-code,engineering",27,27
3,256,339418,How to subscribe to events from LWC embedded in Visualforce,"visualforce,lightning-web-components,platform-event,lightning-out",7,7
3,9217,15694,Is “mens semita tua” the correct translation for “mind your path”?,"english-to-latin-translation,translation-check,motto",6,6
3,136731,245223,Why did Dumbledore say there was “precious little to celebrate” specifically over the 11 years before Voldemort failed to kill baby Harry?,harry-potter,22,22
2,3943,50544,Has the distribution of income and wealth in the USA got much more skewed towards the rich in the last 4 decades?,"united-states,economics,demographics,wealth",19,19
8,20830,44533,Logic of Emptiness still unconvincing. Please help explain,"mahayana,sunyata,shunyata",5,5
1,272,4645,How to interpret spin density isosurface figures?,"density-functional-theory,vasp,spin",2,2
2,24,4635,What are some cloud services for computing?,"one-topic-per-answer,high-performance-computing",8,8
3,52717,183513,Is this Homebrew Advantage rule broken?,"dnd-5e,house-rules,statistics,dice,advantage-and-disadvantage",11,11
8,60769,199764,What could be the the consequences in this world if nuclear bombs didn't release radiation anymore?,"alternate-history,politics,nuclear-weapons,geopolitics,nuclear-war",10,10
3,137921,165728,How do I voice my opinion that the teaching of students is being neglected?,"ethics,united-states,teaching,teaching-assistant",19,19
3,57742,109169,Red Herring Redherring,"word,knowledge,enigmatic-puzzle,visual,metapuzzles",30,30
2,98430,124320,Why is there a bright edge in my photos even though my studio lights provide even coverage?,studio-lighting,7,7
3,334715,642966,Why does “file xxx.src” lead to “cannot open `xxx.src' (No such file or directory)” but has an exit status of 0 (success)?,"linux,exit-status,file-command",11,11
1,464748,643191,backtick or Here string or read is not working as expected in RHEL 8,"bash,rhel,io-redirection,read,here-string",3,3
2,97843,221167,Why were the screws set in pairs in my drywall?,"drywall,walls,renovation",11,11
4,50677,75946,Recommendations on how to buy clipless bike shoes,"shoes,clipless,pedals-clipless",3,3
4,32035,221150,"Strange suction in toilet and sink, like a vacuum in the sewer pulling the water out","plumbing,drain,drainage,sewer",12,12
2,45588,183534,How to surpass Construct's Hardness with no heavy-hitter at low level?,"pathfinder-2e,tactics,constructs",6,6
2,39182,51141,"Why have SpaceX skipped the SpaceX Starship SN12, SN13, and SN14?","spacex,spacex-starship",22,22
1,131574,221253,Crimp spade connectors in breaker box?,electrical-panel,3,3
1,403,243919,Easily download SE posts as notebooks?,"import,web-access,http-functions",11,11
26,89930,222585,Un-pipe an Elixir expression,"code-golf,string",24,24
3,43422,113343,How does Eb connect musically to C major chord progression like in this song?,"chords,scales,chord-theory,chord-progressions",8,8
2,58973,50532,Have any versions of “Who Wants to be a Millionaire?” had to remove the Ask the Audience lifeline due to the audience purposely voting wrong?,television,21,21
9,38153,163140,Usage of cash in Europe during COVID,"europe,money,covid-19",4,4
2,281144,517795,Differences Between the Central Limit Theorem and Consistency,"probability,convergence,central-limit-theorem,consistency",7,7
1,10069,43285,Topology on the space of measurable functions,"mathematical-economics,game-theory",5,5
3,31995,63727,Do you get to keep a fraudulent money transfer that you are entitled to?,"fraud,unjust-enrichment",8,8
2,79149,243897,Changing the repeated number on a list,list-manipulation,4,4
1,19804,45562,Head shaving when father is alive,customs,4,4
1,127513,280382,in/at one fell swoop(=at one time) What's fell here?,"word-usage,meaning-in-context,word-meaning,parts-of-speech,idioms-in-context",2,2
4,84509,199947,How Could I justify that ancient humans ruins have not been discovered?,"science-based,science-fiction,post-apocalypse",5,5
4,40376,31388,Artificial decomposition in Scrum,"scrum,estimation,sprint,refinement",12,12
10,125099,170987,My tasks at work have turned away from what I applied to. How do I get back on track?,"communication,new-job,job-description,netherlands",50,50
5,133350,221111,How to get a wrench into this location to remove this nut?,"plumbing,hand-tools",14,14
27,4872,53513,How do I check if a list is empty?,"python,list",3231,3231
43,46646,415511,How to get the current time in Python,"python,datetime,time",3197,3197
3,68541,73261,Why does one say IP fragmentation is bad and to be avoided when in reality data always needs to be fragmented for MTU compatibility?,"ipv4,tcp,udp,osi,fragmentation",14,14
37,1354,130794,What is dependency injection?,"design-patterns,language-agnostic,dependency-injection,terminology",3217,3217
30,62118,588004,Is floating point math broken?,"math,language-agnostic,floating-point,floating-accuracy",3248,3248
4,55661,115049,"Why doesn't a microwave heat the air around food, in addition to the food itself?","microwave,heat",8,8
6,11795,19446,Was there a specific benefit to inverted (XOR) mouse cursors other than aesthetics?,"history,graphics,mouse",27,27
25,3041,1986896,What is the difference between call and apply?,"javascript,performance,function,dynamic",3207,3207
25,-1,1034621,Get the current URL with JavaScript?,"javascript,url",3227,3227
25,453596,7172784,How do I POST JSON data with cURL?,"json,rest,spring-mvc,curl,http-headers",3173,3173
2,32618,591046,Beamer XeLaTeX Unicode,"beamer,xetex,unicode",4,4
1,22993,45560,Do all Non-Hindus remain as Pretas after death?,"philosophy,dharma,dharma-shastras",10,10
57,-1,352098,How can I pretty-print JSON in a shell script?,"json,unix,command-line,format,pretty-print",3249,3249
11,127056,1143796,Remove a file from a Git repository without deleting it from the local filesystem,"git,repository,remote-server,delete-file,git-rm",3254,3254
48,537967,5585779,How do I convert a String to an int in Java?,"java,string,int,type-conversion",3186,3186
3,1732709,21947452,Why is printing “B” dramatically slower than printing “#”?,"java,performance,loops,for-loop,system.out",2813,2813
39,1782,596351,How can I know which radio button is selected via jQuery?,"javascript,jquery,html,jquery-selectors,radio-button",2838,2838
90,-1,263965,How can I convert a string to boolean in JavaScript?,javascript,2847,2847
30,9311,141088,What is the best way to iterate over a dictionary? [closed],"c#,dictionary,loops",2825,2825
39,176191,1452721,Why is “using namespace std;” considered bad practice?,"c++,namespaces,std,using-directives,c++-faq",2847,2847
17,549757,5235142,How do I disable the resizable property of a textarea?,"html,css",2866,2866
29,259,986006,How do I pass a variable by reference?,"python,reference,parameter-passing,pass-by-reference",2836,2836
3,135061,591014,Best way to write $\lim^1$,spacing,11,11
17,1897,739654,How to make function decorators and chain them together?,"python,decorator,python-decorators",2873,2873
2,7434,63260,What is the largest political entity that lacks legislative power?,"international,legislation,local-government",16,16
6,294860,626225,"Since the microwave background radiation came into being before stars, shouldn't all existing stars (given sufficient equipment) be visible?","cosmology,cosmic-microwave-background",15,15
2,56730,86271,What options are there in Canada for treatment of severe depression and anxiety for pilots?,"helicopter,general-aviation,medical,canada",11,11
26,30773,229551,How to check if a string contains a substring in Bash,"string,bash,shell,substring,sh",2858,2858
55,-1,34571,"How do I test a private function or a class that has private methods, fields or inner classes?","java,unit-testing,tdd",2874,2874
50,314994,2785485,Is there a unique Android device ID?,"android,uniqueidentifier",2874,2874
43,177416,5515310,"Is there a standard function to check for null, undefined, or blank variables in JavaScript?","javascript,null,comparison,undefined",2525,2525
54,96180,1531093,How do I get the current date in JavaScript?,"javascript,date,date-formatting",2535,2535
3,63622,113333,Why do guitarists move fingers up and down on the same note?,"guitar,technique",7,7
8,264,1108,How does database indexing work? [closed],"sql,database,performance,indexing,database-indexes",2548,2548
37,802,750172,How to change the author and committer name and e-mail of multiple commits in Git?,"git,version-control,git-filter-branch,git-rewrite-history",2548,2548
28,505762,5404839,How can I refresh a page with jQuery?,"javascript,jquery,refresh,reload",2557,2557
29,61989,605845,Do I cast the result of malloc?,"c,malloc,casting",2534,2534
1,135311,389083,Packing equal-size disks in a unit disk,"co.combinatorics,discrete-geometry,extremal-combinatorics,circle-packing",6,6
7,214898,557501,Is it possible to generate light with an antenna?,"antenna,electromagnetism,light,electromagnetic,optoelectronics",20,20
6,40304,58474,Matthew 27:46 Why does Jesus not address God as Father?,"matthew,jesus,names-of-god,crucifixion",4,4
3,50422,82576,What is the biblical basis for Jesus' eternal pre-existence (as opposed to having been created a long time ago)?,"biblical-basis,christology,creation,time,eternity",7,7
9,20458,563913,Is “Blitzkrieg” a word that average native speaker would understand?,"meaning,meaning-in-context",12,12
3,28067,63275,"In open-list voting systems, how do political parties ensure their leaders (and key figures) get elected?","election,parliament,parties,voting-systems,proportional-representation",3,3
26,1165332,48270127,Can (a== 1 && a ==2 && a==3) ever evaluate to true?,"javascript,ecmascript-6",2545,2545
30,2399,21593,What is the difference between #include <filename> and #include “filename”?,"c++,c,include,header-files,c-preprocessor",2561,2561
6,42982,626458,Do the “colors” live in a 3-dimensional vector space?,"electromagnetic-radiation,visible-light,wavelength,vision,popular-science",2,2
4,93171,115029,Is there such a thing as a dish being bland from too many flavors?,"flavor,spices,seasoning",29,29
32,137100,4907843,Open a URL in a new tab (and not a new window),javascript,2337,2337
2,196688,557871,Why should BJTs be saturated in switching circuits?,"transistors,bjt,saturation",3,3
10,578832,8547778,Why are elementwise additions much faster in separate loops than in a combined loop?,"c++,performance,x86,vectorization,compiler-optimization",2309,2309
14,51816,663171,How do I get a substring of a string in Python?,"python,string,substring",2333,2333
31,960956,9270734,ssh “permissions are too open” error,"permissions,ssh",2349,2349
21,69684,3042437,How to change the commit author for one specific commit?,"git,git-commit",2353,2353
2,38190,389060,Colimits of residually finite groups,gr.group-theory,3,3
3,281726,557789,Temperature sensor read out is influenced by LED,"arduino,sensor,adc",3,3
11,2437514,30081275,Why is “1000000000000000 in range(1000000000000001)” so fast in Python 3?,"python,performance,python-3.x,range,python-internals",2366,2366
30,87971,806000,How do I give text or an image a transparent background using CSS?,"html,css,opacity",2363,2363
